qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
B2-4	0.00218176841736	0.00296187400818	0.045726776123	0.0569698810577	1	165
B2-5	0.0022029876709	0.0029890537262	0.0594232082367	0.0747811794281	1	223
B2-6	0.00218987464905	0.00298094749451	0.0561189651489	0.0725028514862	1	253
B2-7	0.0022029876709	0.00299000740051	0.0452740192413	0.0578401088715	1	186
B2-8	0.00221109390259	0.00298714637756	0.0458581447601	0.0530622005463	1	111
B2-9	0.00219202041626	0.00297403335571	0.0496439933777	0.0645859241486	1	223
B2-10	0.00217485427856	0.00297594070435	0.0464658737183	0.0558738708496	1	159
B2-11	0.00219392776489	0.00297212600708	0.0625269412994	0.0860409736633	1	349
B2-12	0.00217795372009	0.00297808647156	0.0423240661621	0.0493009090424	1	127
B2-13	0.00218987464905	0.00307703018188	0.0555918216705	0.073609828949	1	267
B2-14	0.00227499008179	0.00309109687805	0.0536661148071	0.0670690536499	1	203
B2-15	0.00223612785339	0.00305604934692	0.0367870330811	0.0391709804535	1	49
B2-16	0.00216698646545	0.00300312042236	0.0497770309448	0.0553319454193	1	82
B2-17	0.00219798088074	0.00298380851746	0.0606698989868	0.0889358520508	1	437
B2-18	0.00217819213867	0.00297117233276	0.0593521595001	0.0805101394653	1	306
B2-19	0.00222682952881	0.00301694869995	0.039333820343	0.0457198619843	1	89
B2-20	0.00218081474304	0.00301504135132	0.0368759632111	0.0419750213623	1	86
B3-1	0.00347781181335	0.00518393516541	0.0526769161224	0.0627708435059	1	11
B3-2	0.00351905822754	0.00523614883423	0.0501251220703	0.0532419681549	1	5
B3-3	0.00345396995544	0.00517201423645	0.0570330619812	0.0594410896301	1	20
B3-4	0.00346398353577	0.00523209571838	0.050931930542	0.0510640144348	1	1
B3-5	0.00369906425476	0.00549793243408	0.0600559711456	0.0612590312958	1	3
B3-6	0.00346994400024	0.00517296791077	0.0494999885559	0.0521030426025	1	10
B3-7	0.00352907180786	0.00522899627686	0.0643348693848	0.0656988620758	1	14
B3-8	0.00345706939697	0.00524711608887	0.0529980659485	0.054172039032	1	12
B3-9	0.00346398353577	0.0052170753479	0.0475859642029	0.0548551082611	1	8
B3-10	0.00369691848755	0.00551199913025	0.0547590255737	0.0567879676819	1	17
B3-11	0.00355696678162	0.00525999069214	0.0519261360168	0.0528020858765	1	8
B3-12	0.00348091125488	0.00518202781677	0.0532600879669	0.0553901195526	1	20
B3-13	0.00354218482971	0.00530314445496	0.057902097702	0.0592141151428	1	7
B3-14	0.00349402427673	0.00528001785278	0.0538880825043	0.0548319816589	1	8
B3-15	0.00348520278931	0.00519514083862	0.0533201694489	0.0538082122803	1	4
B3-16	0.00358104705811	0.00535202026367	0.0552000999451	0.0609290599823	1	11
B3-17	0.00348401069641	0.00520205497742	0.0569040775299	0.0577590465546	1	8
B3-18	0.00346302986145	0.00519800186157	0.057471036911	0.0594310760498	1	19
B3-19	0.00352716445923	0.00523996353149	0.0557980537415	0.0590641498566	1	2
B3-20	0.00357699394226	0.00528407096863	0.0500020980835	0.0503599643707	1	3
B4-1	0.00568294525146	0.0105969905853	0.105012893677	0.112671852112	1	72
B4-2	0.00561308860779	0.010302066803	0.292757987976	0.296138048172	1	30
B4-3	0.00567698478699	0.0104229450226	0.249157905579	0.260592937469	1	48
B4-4	0.00586891174316	0.0106270313263	0.241445064545	0.252196073532	1	54
B4-5	0.00579309463501	0.0105271339417	0.251751184464	0.263110160828	1	102
B4-6	0.00580406188965	0.0105588436127	0.258861064911	0.271453857422	1	120
B4-7	0.00561499595642	0.0103158950806	0.245626926422	0.25426697731	1	48
B4-8	0.00560593605042	0.0102508068085	0.245454788208	0.253934860229	1	24
B4-9	0.00561189651489	0.0103418827057	0.24122095108	0.242734909058	1	18
B4-10	0.00558686256409	0.0102679729462	0.241735935211	0.248336791992	1	12
B4-11	0.00567507743835	0.0103821754456	0.250435113907	0.252388000488	1	18
B4-12	0.00555920600891	0.0102200508118	0.253083229065	0.256525039673	1	30
B4-13	0.00568079948425	0.0103778839111	0.240313768387	0.254312992096	1	18
B4-14	0.00560808181763	0.0102610588074	0.263425111771	0.299189090729	1	324
B4-15	0.00567412376404	0.0103511810303	0.271903991699	0.273190975189	1	12
B4-16	0.00577807426453	0.0105609893799	0.252301931381	0.262470006943	1	90
B4-17	0.00576591491699	0.0105199813843	0.25759601593	0.259463071823	1	18
B4-18	0.00567293167114	0.0103478431702	0.263481855392	0.266886949539	1	30
B4-19	0.00560903549194	0.0102770328522	0.245347976685	0.254578828812	1	54
B4-20	0.00562000274658	0.0102767944336	0.243201971054	0.256258010864	1	120
B5-1	0.00294303894043	0.00447916984558	10.6870820522	13.601719141	1	13065
B5-2	0.00283002853394	0.0043420791626	4.71196699142	6.19492793083	1	8237
B5-3	0.00272488594055	0.00417590141296	9.88628482819	12.2889418602	1	11046
B5-4	0.002690076828	0.00410103797913	2.05977320671	2.75619697571	1	5107
B5-5	0.00268912315369	0.00409913063049	3.04650712013	3.8993139267	1	5195
B5-6	0.00285601615906	0.0043830871582	4.73345899582	6.11658501625	1	9458
B5-7	0.0029079914093	0.0044481754303	5.6135289669	7.04745817184	1	8651
B5-8	0.00268197059631	0.00409078598022	10.1389198303	12.78520298	1	12952
B5-9	0.00274682044983	0.0041618347168	0.546977996826	0.738754987717	1	1099
B5-10	0.00282907485962	0.00434899330139	2.96020698547	4.10714221001	1	6592
B5-11	0.00276803970337	0.00424599647522	3.11949205399	4.06236410141	1	6499
B5-12	0.00275111198425	0.00420808792114	8.76819896698	11.3974430561	1	11674
B5-13	0.00277209281921	0.00424098968506	1.50091099739	2.01474618912	1	3826
B5-14	0.00277805328369	0.00421214103699	0.858501195908	1.13500118256	1	1988
B5-15	0.00266289710999	0.00416493415833	5.44986701012	7.15969109535	1	9665
B5-16	0.00268793106079	0.00412082672119	4.4033408165	6.6710100174	1	7609
B5-17	0.00268197059631	0.00410914421082	0.981223106384	1.30547809601	1	2629
B5-18	0.002760887146	0.00427198410034	2.85275197029	3.81341981888	1	5574
B5-19	0.00272822380066	0.00423121452332	2.08920001984	2.86085009575	1	5201
B5-20	0.0026638507843	0.00412201881409	2.79965186119	3.80818390846	1	7186
B6-1	0.0036289691925	0.0060670375824	0.803507089615	0.820739030838	1	18
B6-2	0.00366806983948	0.00603008270264	0.108711004257	0.108756065369	1	1
B6-3	0.00374984741211	0.00603604316711	31.0266349316	31.0270729065	1	5
B6-4	0.00363612174988	0.00601506233215	0.144656896591	0.145138978958	1	5
B6-5	0.00385713577271	0.00635600090027	0.153484106064	0.169095993042	1	15
B6-6	0.00361609458923	0.00599598884583	0.134036064148	0.134797096252	1	8
B6-7	0.00361204147339	0.0060031414032	0.106845140457	0.106897115707	1	1
B6-8	0.00364518165588	0.00605916976929	0.134927988052	0.147282123566	1	11
B6-9	0.00365304946899	0.00603699684143	0.135469913483	0.148293972015	1	11
B6-10	0.00362610816956	0.00602006912231	0.14356803894	0.156378030777	1	12
B6-11	0.00364899635315	0.00605893135071	0.117004871368	0.11754488945	1	4
B6-12	0.00368785858154	0.0060818195343	0.157180786133	0.193332910538	1	19
B6-13	0.00364995002747	0.00603199005127	0.135344028473	0.150447130203	1	12
B6-14	0.00374984741211	0.0061628818512	0.132067918777	0.132668972015	1	7
B6-15	0.00367403030396	0.00602507591248	0.130713224411	0.144015073776	1	11
B6-16	0.00359320640564	0.00604319572449	0.123598098755	0.124424219131	1	8
B6-17	0.00366115570068	0.00611615180969	0.117173194885	0.117645978928	1	4
B6-18	0.00367283821106	0.00603604316711	0.135884046555	0.13640999794	1	6
B6-19	0.00369596481323	0.00607705116272	0.121113061905	0.121938943863	1	7
B6-20	0.00374603271484	0.00610899925232	0.107172012329	0.107525110245	1	3
B7-1	0.00273084640503	0.00416398048401	0.467216968536	0.481328010559	1	14
B7-2	0.00278306007385	0.00419306755066	0.0683250427246	0.101679086685	1	25
B7-3	0.00283408164978	0.00428605079651	0.072457075119	0.105704069138	1	26
B7-4	0.00279307365417	0.0042941570282	0.0679931640625	0.0980892181396	1	22
B7-5	0.00272798538208	0.00420594215393	0.0759370326996	0.107385158539	1	21
B7-6	0.00278902053833	0.00420594215393	0.0679039955139	0.0858459472656	1	19
B7-7	0.00273013114929	0.00416302680969	0.0684940814972	0.117655992508	1	32
B7-8	0.00279092788696	0.00423693656921	0.0653278827667	0.0863108634949	1	19
B7-9	0.00275802612305	0.00420689582825	2.06520605087	2.0803630352	1	15
B7-10	0.00275897979736	0.0041720867157	0.0615649223328	0.0619299411774	1	4
B7-11	0.00277590751648	0.00420093536377	0.0688569545746	0.0825028419495	1	16
B7-12	0.00275111198425	0.00416612625122	0.0693562030792	0.0836350917816	1	17
