qname	decompositionTime	planningTime	overallTime	cardinality	msg
B11-20	0.7960000038	0.0060000420	3.84788298607	20	
B12-1	1.1180000305	0.0060000420	10.423689127	1296	
B12-2	0.7349998951	0.0050001144	6.01560115814	570	
B12-3	0.7369999886	0.0060000420	15.4473879337	2376	
B12-4	0.7090001106	0.0060000420	6.8983168602	756	
B12-5	0.7320001125	0.0049998760	8.38060116768	966	
B12-6	0.7450001240	0.0049998760	5.89464497566	504	
B12-7	0.7310001850	0.0049998760	11.4388148785	1440	
B12-8	0.7170000076	0.0059998035	9.53358101845	1242	
B12-9	0.7390000820	0.0060000420	3.28727316856	120	
B12-10	0.7330000401	0.0060000420	3.96055603027	204	
B12-11	0.7369999886	0.0069999695	15.627177	2400	
B12-12	0.7239999771	0.0060000420	8.37962007523	1026	
B12-13	0.7179999352	0.0060000420	10.9413061142	1530	
B12-14	0.7490000725	0.0060000420	11.9742748737	1260	
B12-15	0.7309999466	0.0060000420	9.34273314476	972	
B12-16	0.7639999390	0.0050001144	12.6298110485	1728	
B12-17	0.7269999981	0.0059998035	14.2176299095	2208	
B12-18	0.7390000820	0.0060000420	10.8009850979	1536	
B12-19	0.7400000095	0.0059998035	12.2395420074	1632	
B12-20	0.7289998531	0.0060000420	16.5056769848	2622	
