qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
B7-3	0.00260400772095	0.00421404838562	0.0622520446777	0.10452914238	1	26
B7-4	0.00263094902039	0.00421595573425	0.0622160434723	0.0912189483643	1	22
B7-5	0.00265002250671	0.0043158531189	0.0632648468018	0.0944969654083	1	21
B7-6	0.00260901451111	0.0042200088501	0.0617611408234	0.0787191390991	1	19
B7-7	0.00265693664551	0.00430011749268	0.0637121200562	0.108608007431	1	32
B7-8	0.00260305404663	0.00429701805115	0.0834910869598	0.096293926239	1	19
B7-9	0.002610206604	0.00422215461731	0.0599021911621	0.0781581401825	1	15
B7-10	0.00258708000183	0.00419402122498	0.0565440654755	0.0568518638611	1	4
B7-11	0.00259304046631	0.0042130947113	0.0629971027374	0.077043056488	1	16
B7-12	0.00265598297119	0.00430798530579	0.0601398944855	0.0743839740753	1	17
B7-13	0.00256085395813	0.00416898727417	0.058317899704	0.0587220191956	1	5
B7-14	0.00257897377014	0.00421595573425	0.0628879070282	0.077162027359	1	15
B7-15	0.00263905525208	0.00430583953857	0.061292886734	0.0962100028992	1	21
B7-16	0.00259399414062	0.00418400764465	0.0622658729553	0.0771679878235	1	17
B7-17	0.00262117385864	0.0043261051178	0.0617361068726	0.0774171352386	1	16
B7-18	0.00279116630554	0.0044891834259	0.0622000694275	0.0778861045837	1	20
B7-19	0.00268387794495	0.0042998790741	0.0641779899597	0.102607011795	1	28
B7-20	0.00257515907288	0.0042200088501	0.0778369903564	0.121304035187	1	33
B8-1	0.00192284584045	0.003093957901	0.0779519081116	0.0861358642578	1	102
B8-2	0.00193786621094	0.00310683250427	0.0692889690399	0.0815379619598	1	156
B8-3	0.00188112258911	0.00304412841797	0.0602819919586	0.0673589706421	1	90
B8-4	0.0018789768219	0.00304007530212	0.0694150924683	0.0782570838928	1	108
B8-5	0.0018789768219	0.00303220748901	0.0666201114655	0.077278137207	1	132
B8-6	0.00190782546997	0.00307083129883	0.0633687973022	0.072634935379	1	114
B8-7	0.00196099281311	0.00316596031189	0.0639169216156	0.072240114212	1	108
B8-8	0.00187993049622	0.00302696228027	0.0662369728088	0.0764808654785	1	126
B8-9	0.00210118293762	0.00335311889648	0.0653491020203	0.0759370326996	1	126
B8-10	0.00190210342407	0.0030791759491	0.0597891807556	0.0673091411591	1	90
B8-11	0.00186991691589	0.00310206413269	0.0582530498505	0.0647039413452	1	78
B8-12	0.00193905830383	0.00311207771301	0.0671181678772	0.0777530670166	1	132
B8-13	0.00185799598694	0.00302290916443	0.065367937088	0.0755269527435	1	120
B8-14	0.00208497047424	0.00332903862	0.0693800449371	0.0783178806305	1	108
B8-15	0.00195813179016	0.00311613082886	0.0588049888611	0.0649540424347	1	78
B8-16	0.00195002555847	0.00310111045837	0.0632801055908	0.0706329345703	1	90
B8-17	0.00206804275513	0.00328588485718	0.0633778572083	0.0712308883667	1	108
B8-18	0.00186395645142	0.00303912162781	0.0607869625092	0.0690071582794	1	102
B8-19	0.00192189216614	0.00307989120483	0.0621018409729	0.0696308612823	1	96
B8-20	0.00191307067871	0.00314211845398	0.0649411678314	0.0736081600189	1	108
B9-1	0.00219988822937	0.00375294685364	0.0556678771973	0.0557079315186	1	1
B9-2	0.00218391418457	0.00377607345581	0.0515370368958	0.0515880584717	1	1
B9-3	0.00224494934082	0.00385808944702	0.0593481063843	0.0593919754028	1	1
B9-4	0.00225901603699	0.00386595726013	0.0533061027527	0.0533509254456	1	1
B9-5	0.00219702720642	0.00395512580872	0.0542809963226	0.0543239116669	1	1
B9-6	0.00224304199219	0.00380897521973	0.0545170307159	0.0545649528503	1	1
B9-7	0.00217604637146	0.003741979599	0.0537691116333	0.0538380146027	1	1
B9-8	0.00218605995178	0.00373411178589	0.055547952652	0.0556209087372	1	1
B9-9	0.00220608711243	0.00374889373779	0.0566530227661	0.0566921234131	1	1
B9-10	0.00216698646545	0.00375986099243	0.05424284935	0.0542929172516	1	1
B9-11	0.00225591659546	0.0038149356842	0.0510821342468	0.0511379241943	1	1
B9-12	0.00224208831787	0.00377607345581	0.0530889034271	0.053160905838	1	1
B9-13	0.00224590301514	0.00380992889404	0.0527667999268	0.0528049468994	1	1
B9-14	0.00222301483154	0.00374293327332	0.0513010025024	0.0513470172882	1	1
B9-15	0.00222086906433	0.00381302833557	0.0543270111084	0.0543649196625	1	1
B9-16	0.00221586227417	0.00378894805908	0.0516328811646	0.0517039299011	1	1
B9-17	0.00223588943481	0.00377988815308	0.0548038482666	0.0548648834229	1	1
B9-18	0.00223207473755	0.00379300117493	0.053423166275	0.0535371303558	1	1
B9-19	0.00220584869385	0.00375890731812	0.0507729053497	0.0508580207825	1	1
B9-20	0.00220489501953	0.00380086898804	0.0519528388977	0.0520629882812	1	1
B10-1	0.00351810455322	0.00565910339355	0.869887113571	1.37747001648	1	130
B10-2	0.00350189208984	0.00562596321106	0.425127983093	0.991647958755	1	184
B10-3	0.00342416763306	0.00552701950073	0.247009992599	0.745207071304	1	168
B10-4	0.00351309776306	0.00564503669739	0.126087903976	0.870151042938	1	261
B10-5	0.00345897674561	0.00556206703186	0.210018873215	0.957048892975	1	301
B10-6	0.00345182418823	0.00556397438049	0.134604930878	0.543256998062	1	190
B10-7	0.00351715087891	0.0056209564209	0.131730079651	0.941854000092	1	379
B10-8	0.00343489646912	0.00551700592041	0.122183084488	0.535631895065	1	239
B10-9	0.00352311134338	0.00561904907227	0.116467952728	0.267959117889	1	147
B10-10	0.00357007980347	0.00568699836731	0.145758152008	0.749439001083	1	298
B10-11	0.0034761428833	0.00556612014771	0.168536186218	0.948258161545	1	453
B10-12	0.00346708297729	0.00556802749634	0.118318080902	0.59211397171	1	216
B10-13	0.00345706939697	0.0055410861969	0.0967271327972	0.182358980179	1	68
B10-14	0.00354981422424	0.00567483901978	0.0906298160553	0.280174970627	1	86
B10-15	0.00358295440674	0.00576686859131	0.0855300426483	0.256465911865	1	71
B10-16	0.00351190567017	0.00567698478699	0.138753890991	0.322726964951	1	207
B10-17	0.00348591804504	0.00559997558594	0.0897889137268	0.181999921799	1	68
B10-18	0.00342607498169	0.00550508499146	0.0830039978027	0.184489011765	1	30
B10-19	0.00342392921448	0.00550985336304	0.082221031189	0.198897838593	1	49
B10-20	0.00342988967896	0.005530834198	0.144749879837	0.566106796265	1	328
B11-1	0.00615692138672	0.00914692878723	25.3965120316	56.2353739738	1	1
B11-2	0.00617003440857	0.00911712646484	7.54228305817	53.1246161461	1	3
B11-3	0.00634288787842	0.00935101509094	1.7170290947	54.0180280209	1	13
B11-4	0.00624704360962	0.00921297073364	4.25919103622	53.609128952	1	19
B11-5	0.00616383552551	0.00912690162659	2.30339884758	52.9685089588	1	13
B11-6	0.00614094734192	0.00915098190308	2.26401114464	53.8314220905	1	16
B11-7	0.00640892982483	0.00946092605591	2.58834290504	53.7925019264	1	5
B11-8	0.00614404678345	0.00909900665283	4.16573190689	49.6840250492	1	6
B11-9	0.0062849521637	0.0092658996582	2.61494994164	52.7717609406	1	15
B11-10	0.00622606277466	0.00918006896973	3.99108910561	53.8130970001	1	9
